gender,educ,partyid,taxpayer,percenttp,wagesal,child,wastecents,eitcself,eitcother,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
2,3,1,1,64,1,0,29,3,3,6,2,1,1,40,1,3,3,4,2,1,3,3,1,10,11,1,8,0.631671616
2,3,1,1,81,1,0,60,2,4,6,2,2,1,81,1,2,2,2,1,1,1,5,1,36,29,1,3,0.427902551
1,2,4,1,38,1,1,28,1,2,1,4,2,1,25,1,2,2,2,2,2,2,5,1,7,33,1,13,0.503497879
2,5,1,1,20,1,2,40,1,1,8,1,2,1,40,1,4,2,1,4,4,6,1,1,47,36,1,14,0.506566333
2,5,7,1,80,1,1,61,1,1,2,7,1,1,20,1,2,2,1,2,1,3,3,1,10,29,1,9,0.432154266
2,2,4,2,40,1,2,80,1,3,8,5,3,1,62,2,3,2,4,3,4,6,1,1,34,54,1,5,0.627293163
2,3,1,1,85,1,0,92,3,4,4,4,2,1,55,1,2,3,4,2,1,6,2,3,10,28,1,11,0.432154266
2,3,2,2,40,1,0,95,1,3,4,6,3,1,21,1,4,3,4,1,4,6,5,3,33,32,3,20,1.318904573
2,2,4,1,91,0,1,40,1,1,1,4,4,2,65,2,3,4,4,4,4,6,2,3,14,25,1,10,0.538743107
2,5,3,1,71,1,0,62,3,0,6,3,2,1,30,1,4,5,4,1,1,3,3,1,20,14,1,7,0.627845355
1,2,4,1,51,0,0,81,3,2,1,6,3,2,1,2,2,3,4,1,1,6,3,1,39,20,1,14,0.503497879
1,2,2,1,91,1,0,75,3,3,5,6,1,1,19,1,2,2,4,2,1,1,1,1,5,15,1,14,0.673454506
1,6,4,1,71,1,0,91,4,4,1,8,4,1,2,2,4,3,4,4,4,6,2,1,39,27,1,15,0.503497879
2,6,1,1,91,1,0,60,3,1,3,4,4,1,75,2,2,3,4,2,1,3,3,3,11,25,2,11,1.103625348
2,2,4,1,80,1,0,80,3,3,6,4,4,1,40,2,4,3,4,4,4,6,1,1,44,14,1,15,0.74043831
1,5,5,1,37,1,2,88,3,3,1,5,4,1,19,1,2,2,4,2,2,3,1,1,33,32,3,19,3.307073246
4,2,4,1,56,1,0,88,3,3,1,6,1,1,4,1,2,3,4,1,3,6,4,3,41,49,1,7,0.789782315
2,2,4,1,65,1,0,64,2,1,1,5,2,1,49,1,4,4,4,4,4,6,3,1,20,24,1,11,0.429536552
1,2,7,2,45,1,0,50,3,4,6,4,2,1,21,1,2,1,4,2,1,3,1,1,5,12,1,12,0.574527399
1,7,4,1,60,1,1,48,1,3,1,8,2,1,51,2,4,2,4,2,2,6,6,5,25,61,1,20,5.00007371
1,5,1,1,69,0,1,70,1,2,4,4,2,1,43,1,2,2,1,1,1,1,1,1,5,56,1,16,0.84202368
1,4,4,1,60,1,2,98,1,3,1,7,1,1,0,1,2,2,4,2,1,3,1,1,39,33,1,11,0.429536552
1,2,5,1,60,1,0,70,3,1,6,7,3,1,0,1,3,3,4,2,1,3,1,1,47,21,1,17,1.302865633
1,5,1,1,90,1,0,15,3,3,6,2,2,1,67,1,2,1,4,2,1,3,1,1,14,17,1,17,2.374078686
1,5,3,1,45,1,0,50,3,2,2,4,2,1,36,1,2,4,4,1,2,3,5,4,5,57,1,15,0.84202368
2,5,6,1,60,1,0,40,4,2,2,4,2,1,19,1,2,1,4,1,2,3,1,1,39,18,1,17,1.294973709
2,4,1,1,40,1,1,60,1,3,5,4,4,1,7,1,2,2,4,4,1,6,3,3,14,31,2,1,1.09276742
1,5,6,1,67,1,1,50,2,2,1,6,2,1,60,2,1,2,1,2,2,6,1,3,37,49,1,12,0.789782315
2,4,4,1,81,1,0,10,3,1,5,4,4,1,49,1,3,3,4,4,4,6,3,3,5,23,1,3,0.312191688
2,5,7,1,50,1,2,60,1,2,8,6,3,1,19,1,2,3,4,2,1,6,1,1,39,48,1,14,0.920166135
1,2,4,1,98,1,0,98,3,2,1,4,4,1,1,2,4,2,4,4,4,6,1,3,33,48,1,10,0.784998321
2,2,1,1,70,1,0,60,1,4,2,1,2,1,50,2,2,3,3,1,2,3,3,1,33,18,1,7,0.429536552
2,5,6,1,50,1,0,60,1,4,1,6,2,1,19,1,2,2,4,2,1,3,1,1,25,32,1,12,0.432154266
1,5,1,1,100,1,0,10,1,4,6,2,2,1,80,1,2,2,4,2,1,2,5,3,3,15,5,1,1.165351009
2,5,4,1,75,1,0,40,4,4,3,4,2,1,50,1,3,3,4,1,1,6,1,1,47,40,1,13,0.92577388
2,4,5,1,60,1,0,91,4,4,9,4,3,1,49,1,3,2,4,2,4,6,3,1,27,26,1,1,0.312191688
2,2,1,1,60,1,0,63,4,4,1,4,1,1,93,2,2,3,4,1,1,6,1,1,21,25,1,16,0.506566333
2,4,1,1,70,1,0,20,1,1,9,6,4,1,70,1,3,4,4,2,1,6,1,1,8,29,2,4,0.876566393
1,5,7,1,59,1,0,20,3,1,1,6,3,1,9,1,3,4,4,2,1,3,3,1,10,27,1,15,0.506566333
1,5,1,1,91,1,3,53,4,4,1,5,2,1,31,1,1,2,4,1,2,3,1,1,44,37,1,12,0.432154266
2,5,1,1,63,1,0,18,1,1,2,2,2,1,5,1,2,2,4,2,1,3,1,1,5,33,1,15,0.460739774
1,5,7,1,80,1,0,29,3,3,1,6,3,1,51,2,3,4,4,1,1,6,5,3,33,20,1,18,1.294973709
1,3,4,2,31,1,0,73,4,3,7,4,4,2,35,2,3,2,4,4,4,6,5,4,12,60,4,1,5.000084473
1,3,6,1,91,1,0,65,4,3,2,6,3,1,32,1,3,2,4,2,1,3,5,3,31,27,1,10,0.429536552
1,5,1,2,70,1,0,80,3,3,6,2,3,1,39,1,4,3,4,4,4,6,5,1,14,20,2,9,1.375829411
1,2,6,1,50,0,2,20,1,3,6,5,5,1,41,1,2,2,4,2,1,3,5,3,5,35,1,11,0.3930594
1,2,4,1,70,1,2,80,4,4,1,4,2,1,60,1,3,2,4,4,4,1,1,1,47,45,4,13,2.364219449
1,2,4,2,70,1,0,40,1,3,6,2,3,1,40,1,3,3,4,1,2,6,3,3,29,14,1,3,0.456324613
2,4,1,1,86,0,0,61,3,4,1,4,3,1,27,2,3,2,4,4,4,6,3,3,5,31,1,8,0.3930594
1,4,2,1,98,0,1,61,1,1,6,4,2,1,70,1,2,2,1,1,1,6,3,1,23,21,1,8,0.538743107
2,2,7,1,59,1,1,69,1,2,2,6,3,1,39,2,2,3,4,1,1,6,1,1,18,53,1,14,0.92577388
1,2,4,1,81,1,0,41,1,1,1,4,4,2,20,2,3,3,4,1,1,6,1,1,29,24,1,14,0.460739774
1,2,7,1,52,1,0,65,1,2,6,6,1,1,30,1,3,2,3,2,1,3,1,1,43,27,1,8,0.432154266
1,5,7,1,28,1,0,39,3,3,1,6,1,1,50,1,2,2,2,2,1,3,1,1,44,29,1,16,0.506566333
2,5,5,1,49,1,0,31,3,3,8,5,3,1,20,1,3,3,4,2,1,3,1,1,33,21,1,17,1.294973709
2,3,6,1,75,1,0,42,3,1,1,5,2,1,20,1,2,2,4,1,1,3,5,1,11,51,1,11,0.789782315
1,2,4,1,74,1,1,70,2,2,1,4,2,1,30,1,3,2,4,1,4,6,5,3,15,57,1,9,0.984578453
1,3,6,1,50,1,0,40,3,3,6,4,1,1,19,1,2,1,4,2,1,6,1,1,23,22,1,14,0.631508565
1,2,4,1,80,1,0,21,1,1,1,1,1,3,19,3,3,3,1,3,2,3,5,5,29,54,4,4,1.457044443
2,2,4,1,82,1,0,54,1,3,4,4,3,1,14,1,3,2,4,2,1,3,5,1,15,24,1,1,0.427902551
1,7,9,2,5,0,0,15,4,3,10,8,5,2,7,2,2,3,5,4,4,6,5,5,33,44,1,1,0.623493423
2,2,9,2,99,0,0,100,4,4,5,8,4,1,39,2,4,2,4,4,4,6,5,4,44,57,1,20,0.949593622
1,6,1,1,91,1,0,25,3,3,1,4,4,1,75,1,3,4,4,2,1,3,1,1,4,35,1,17,1.302865633
2,2,4,1,50,1,2,19,4,4,8,2,1,1,20,1,2,1,4,3,4,6,1,1,39,44,4,20,2.410360349
2,5,1,1,71,1,0,19,3,4,2,2,3,1,19,1,3,2,4,1,2,3,1,1,33,26,1,13,0.503497879
1,2,4,2,80,1,0,40,4,4,9,4,4,2,39,2,3,1,4,3,3,6,4,3,44,28,1,4,0.343243209
2,2,4,1,51,0,0,73,3,3,6,6,4,2,7,2,2,5,4,2,2,6,1,1,11,18,1,11,0.432154266
2,6,2,1,96,1,0,90,1,1,6,4,1,1,20,1,3,2,4,2,1,3,1,3,29,26,1,16,0.460739774
2,3,4,1,96,1,0,49,3,1,8,3,3,2,30,2,2,3,4,2,2,4,1,1,48,23,1,13,0.460739774
1,5,4,1,81,1,1,66,2,3,1,4,2,1,54,1,3,2,4,1,1,6,1,1,5,50,1,16,0.84202368
2,5,7,1,51,1,4,80,1,1,8,6,2,1,40,1,3,3,4,1,2,3,1,2,13,51,1,14,0.84202368
2,3,1,1,81,1,0,82,3,3,2,4,4,1,40,2,4,5,3,1,1,6,1,1,39,56,1,9,0.784998321
2,5,6,1,81,1,3,40,1,1,1,6,3,1,19,1,2,2,4,2,4,3,1,1,5,38,4,19,5.000013911
1,2,5,1,53,1,2,85,3,1,1,4,1,1,34,1,1,1,4,2,1,3,1,1,34,42,1,14,0.92577388
2,2,4,1,40,1,0,61,4,3,8,2,2,1,14,1,2,2,4,1,1,6,4,1,33,21,1,11,0.429536552
2,3,4,1,90,1,0,60,3,3,2,5,3,1,54,1,3,2,4,1,1,6,1,1,33,31,1,9,0.429536552
1,2,4,1,23,1,0,71,1,1,4,6,4,2,26,2,4,4,4,3,3,6,1,3,36,39,1,2,0.782012106
2,5,2,1,70,1,0,75,3,1,9,6,2,1,30,1,2,2,4,4,1,6,1,1,47,23,1,11,0.432154266
1,2,4,1,30,1,0,80,2,1,2,4,2,1,5,1,3,5,4,4,4,3,3,3,7,27,1,1,0.341164062
1,5,4,1,46,1,0,68,3,3,1,4,4,1,50,2,3,3,5,3,3,6,5,1,7,49,1,15,0.920166135
2,2,4,1,71,1,1,38,4,4,8,4,4,1,50,2,3,3,4,3,1,6,4,1,33,34,1,15,0.503497879
2,4,5,1,60,1,0,39,3,1,8,6,1,1,50,1,2,2,1,2,1,3,1,1,3,35,1,11,0.3930594
2,3,1,1,69,1,0,20,4,4,1,2,1,1,74,1,2,3,3,2,1,3,1,1,36,24,1,13,0.631508565
1,3,4,1,49,1,0,80,3,1,6,6,2,1,4,1,1,1,3,2,1,3,1,1,10,15,1,9,0.631671616
1,4,5,1,50,1,0,60,4,4,1,6,4,1,49,1,3,3,1,2,1,1,3,1,33,31,1,13,0.503497879
2,2,4,1,90,1,0,90,4,4,6,4,4,1,50,1,4,3,4,1,1,3,1,1,14,19,1,11,0.538743107
2,3,7,1,60,1,0,28,3,3,8,3,2,1,71,1,2,1,4,2,1,6,1,1,10,17,1,16,0.74043831
1,6,4,1,60,1,0,40,3,1,6,4,2,1,17,1,2,4,4,2,1,4,1,1,6,16,1,16,0.673454506
1,4,5,1,45,1,0,91,2,1,6,6,1,1,20,1,1,1,4,2,1,3,1,1,33,16,1,14,0.73595321
1,2,5,1,95,1,0,60,1,2,1,5,2,1,50,2,2,3,4,4,1,6,5,4,26,46,5,14,2.947343188
2,3,5,1,76,1,0,40,4,4,8,5,3,1,65,1,3,2,4,2,1,6,1,1,50,18,1,12,0.538743107
2,3,1,2,68,1,0,71,1,1,8,1,1,1,26,1,2,2,3,2,1,3,5,3,27,37,5,2,0.797267752
2,2,9,1,50,1,0,70,1,1,1,7,2,2,14,2,3,5,4,1,2,6,3,1,6,21,1,10,0.3930594
1,5,7,1,60,1,0,65,3,3,1,7,3,1,39,1,3,4,4,2,1,3,3,3,44,34,1,16,0.506566333
2,6,1,1,60,1,0,24,3,3,2,1,1,1,36,1,1,1,2,2,1,4,1,1,48,24,1,19,1.185001802
1,2,4,1,70,1,0,40,1,1,1,4,2,1,20,1,1,2,4,1,1,3,1,2,41,39,1,10,0.789782315
2,3,9,1,80,1,2,84,1,4,1,6,3,1,33,1,4,2,4,2,2,6,1,1,23,40,1,6,0.984578453
